UniqueCount	AmbigCount
0	0
0	0
0	0
0	27
28	363
0	7
0	11
66	0
2	2
0	68
4	1050
0	413
111	416
0	415
233	0
202	0
0	0
0	0
12	339
0	350
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
9	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
18	319
1	319
184	496
0	25
13	144
43	35
0	34
79	0
14	388
18	388
8	23
0	23
0	8
0	1
1	10
2	21
0	11
69	0
25	0
58	0
91	0
401	235
0	231
2	5
11	6
0	4
17	4
1	4
23	46
0	0
0	46
0	1
0	0
0	3
63	74
1	10
0	74
1	1210
10	552
0	1200
0	538
1	34
28	134
0	134
0	0
0	131
4	131
0	101
12	101
2	49
0	31
0	2
0	2
258	159
0	0
14	0
105	17
0	0
7	10
0	0
2	0
0	32
0	32
0	28
0	28
0	8
160	0
3	5
0	1
0	5
0	3
38	0
8	103
0	79
4	103
0	35
19	35
1	0
0	0
0	0
7	20
0	0
52	144
0	95
17	77
18	0
0	11
143	33
0	4
544	282
1	25
2	20
0	18
39	273
13	38
264	219
0	0
172	913
3	138
116	0
237	0
2	55
0	55
1	5
13	317
0	577
0	326
0	577
0	325
28	170
0	36
38	36
0	4
0	9
42	155
0	228
0	248
0	248
437	228
0	47
0	48
0	71
0	72
7	196
3	196
8	142
6	22
7	0
3	1186
4	41
7	1186
8	98
0	0
14	9
9	31
22	31
8	115
2	59
33	106
11	106
618	23
34	69
89	433
2	30
6	30
9	17
0	5
0	86
215	102
0	96
0	24
161	118
0	24
15	458
21	458
327	0
6	2207
24	2207
0	5
1	5
17	0
